cellId,sampleIndex,needs,expectedPriorities,priorities,legMismatch,latencyMs
home_cafe,5,원두;드리퍼;온도계,1;2;3,1;2;3,False,1076
home_cafe,6,원두;드리퍼;온도계,1;2;3,1;2;3,False,1255
home_cafe,7,원두;드리퍼;온도계,1;2;3,1;2;2,False,873
kitten,0,사료;화장실 모래;장난감,1;2;3,1;1;2,False,1044
kitten,1,사료;화장실 모래;장난감,1;2;3,1;1;2,False,1312
kitten,2,사료;화장실 모래;장난감,1;2;3,1;1;2,False,1296
kitten,3,사료;화장실 모래;장난감,1;2;3,1;2;3,False,974
kitten,4,사료;화장실 모래;장난감,1;2;3,1;1;3,False,984
kitten,5,사료;화장실 모래;장난감,1;2;3,1;1;3,False,840
kitten,6,사료;화장실 모래;장난감,1;2;3,1;2;3,False,1091
kitten,7,사료;화장실 모래;장난감,1;2;3,1;1;3,False,766
moving,0,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,1;2;3,False,1050
moving,1,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,1;1;2,False,1053
moving,2,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,1;2;2,False,774
moving,3,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,1;2;3,False,4456
moving,4,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,1;2;3,False,843
moving,5,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,1;2;2,False,854
moving,6,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,1;2;3,False,790
moving,7,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,1;2;1,False,840
newborn,0,기저귀;젖병;딸랑이,1;2;3,1;2;1,False,822
newborn,1,기저귀;젖병;딸랑이,1;2;3,1;1;2,False,856
newborn,2,기저귀;젖병;딸랑이,1;2;3,1;1;2,False,1887
newborn,3,기저귀;젖병;딸랑이,1;2;3,1;1;2,False,877
newborn,4,기저귀;젖병;딸랑이,1;2;3,1;1;2,False,48294
newborn,5,기저귀;젖병;딸랑이,1;2;3,1;1;1,False,2142
newborn,6,기저귀;젖병;딸랑이,1;2;3,1;2;2,False,1018
newborn,7,기저귀;젖병;딸랑이,1;2;3,1;1;2,False,1190
ramen,0,라면사리;계란;대파,1;2;3,1;2;3,False,1858
ramen,1,라면사리;계란;대파,1;2;3,1;1;2,False,873
ramen,2,라면사리;계란;대파,1;2;3,1;1;2,False,1339
ramen,3,라면사리;계란;대파,1;2;3,1;1;2,False,827
ramen,4,라면사리;계란;대파,1;2;3,1;1;2,False,830
ramen,5,라면사리;계란;대파,1;2;3,1;1;2,False,843
ramen,6,라면사리;계란;대파,1;2;3,1;1;2,False,1282
ramen,7,라면사리;계란;대파,1;2;3,1;2;2,False,1091
study_room,0,책상 스탠드;방석;공부 타이머,1;2;3,1;2;2,False,802
study_room,1,책상 스탠드;방석;공부 타이머,1;2;3,1;2;3,False,1054
study_room,2,책상 스탠드;방석;공부 타이머,1;2;3,1;3;2,False,1604
study_room,3,책상 스탠드;방석;공부 타이머,1;2;3,1;2;3,False,911
study_room,4,책상 스탠드;방석;공부 타이머,1;2;3,1;2;2,False,727
study_room,5,책상 스탠드;방석;공부 타이머,1;2;3,1;2;2,False,712
study_room,6,책상 스탠드;방석;공부 타이머,1;2;3,1;2;3,False,1135
study_room,7,책상 스탠드;방석;공부 타이머,1;2;3,1;3;2,False,48928
wedding_guest,0,정장;구두;넥타이핀,1;2;3,1;2;2,False,1302
wedding_guest,1,정장;구두;넥타이핀,1;2;3,1;2;2,False,879
wedding_guest,2,정장;구두;넥타이핀,1;2;3,1;1;3,False,1628
wedding_guest,3,정장;구두;넥타이핀,1;2;3,1;2;2,False,792
wedding_guest,4,정장;구두;넥타이핀,1;2;3,1;2;3,False,1266
wedding_guest,5,정장;구두;넥타이핀,1;2;3,1;2;2,False,776
wedding_guest,6,정장;구두;넥타이핀,1;2;3,1;2;3,False,750
wedding_guest,7,정장;구두;넥타이핀,1;2;3,1;2;3,False,48198
