cellId,sliceId,testType,sampleIndex,legs,unresolved,expansionLeaves,selectCalls,decomposeLegs,adoptedDistance,adoptedMargin,adoptedAnchorKind,dropReasons,latencyMs
multi-mft-002,multi,MFT,2,캐주얼/유니섹스 > 청바지|청바지,운동화,여성신발 > 운동화|운동화;남성신발 > 운동화|운동화;스포츠 신발 > 운동화/스니커즈|운동화;브랜드 여성신발 > 운동화|운동화;브랜드 남성신발 > 운동화|운동화;여성신발 > 스니커즈|운동화;남성신발 > 스니커즈|운동화;여성신발 > 기능화|운동화,2,|청바지;|운동화,0.2027,0.0075,query,category_distance_rejected,5759
multi-mft-002,multi,MFT,3,,청바지;운동화,캐주얼/유니섹스 > 청바지|청바지;여성신발 > 운동화|운동화;여성의류 > 청바지|청바지;남성신발 > 운동화|운동화;남성의류 > 청바지|청바지;스포츠 신발 > 운동화/스니커즈|운동화;브랜드 여성의류 > 청바지|청바지;브랜드 여성신발 > 운동화|운동화,2,|청바지;|운동화,,,,category_select_null;category_distance_rejected,6700
multi-mft-002,multi,MFT,4,캐주얼/유니섹스 > 청바지|청바지,운동화,여성신발 > 운동화|운동화;남성신발 > 운동화|운동화;스포츠 신발 > 운동화/스니커즈|운동화;브랜드 여성신발 > 운동화|운동화;브랜드 남성신발 > 운동화|운동화;여성신발 > 스니커즈|운동화;남성신발 > 스니커즈|운동화;여성신발 > 기능화|운동화,2,|청바지;|운동화,0.2027,0.0075,query,category_distance_rejected,6761
multi-mft-002,multi,MFT,5,캐주얼/유니섹스 > 청바지|청바지,운동화,여성신발 > 운동화|운동화;남성신발 > 운동화|운동화;스포츠 신발 > 운동화/스니커즈|운동화;브랜드 여성신발 > 운동화|운동화;브랜드 남성신발 > 운동화|운동화;여성신발 > 스니커즈|운동화;남성신발 > 스니커즈|운동화;여성신발 > 기능화|운동화,2,|청바지;|운동화,0.2027,0.0075,query,category_distance_rejected,30852
multi-mft-002,multi,MFT,6,캐주얼/유니섹스 > 청바지|청바지,운동화,여성신발 > 운동화|운동화;남성신발 > 운동화|운동화;스포츠 신발 > 운동화/스니커즈|운동화;브랜드 여성신발 > 운동화|운동화;브랜드 남성신발 > 운동화|운동화;여성신발 > 스니커즈|운동화;남성신발 > 스니커즈|운동화;여성신발 > 기능화|운동화,2,|청바지;|운동화,0.2027,0.0075,query,category_distance_rejected,6409
multi-mft-002,multi,MFT,7,,청바지;운동화,캐주얼/유니섹스 > 청바지|청바지;여성신발 > 운동화|운동화;여성의류 > 청바지|청바지;남성신발 > 운동화|운동화;남성의류 > 청바지|청바지;스포츠 신발 > 운동화/스니커즈|운동화;브랜드 여성의류 > 청바지|청바지;브랜드 여성신발 > 운동화|운동화,2,|청바지;|운동화,,,,category_select_null;category_distance_rejected,5877
multi-mft-003,multi,MFT,0,고양이용품 > 사료|고양이 사료;고양이용품 > 간식|고양이 간식,,,0,|고양이 사료;|고양이 간식,0.1945;0.189,0.0395;0.0656,query;query,,3242
multi-mft-003,multi,MFT,1,고양이용품 > 사료|고양이 사료;고양이용품 > 간식|고양이 간식,,,0,|고양이 사료;|고양이 간식,0.1945;0.189,0.0395;0.0656,query;query,,4822
multi-mft-003,multi,MFT,2,고양이용품 > 사료|고양이 사료;고양이용품 > 간식|고양이 간식,,,0,|고양이 사료;|고양이 간식,0.1945;0.189,0.0395;0.0656,query;query,,3366
multi-mft-003,multi,MFT,3,고양이용품 > 사료|고양이 사료;고양이용품 > 간식|고양이 간식,,,0,|고양이 사료;|고양이 간식,0.1945;0.189,0.0395;0.0656,query;query,,3237
multi-mft-003,multi,MFT,4,고양이용품 > 사료|고양이 사료;고양이용품 > 간식|고양이 간식,,,0,|고양이 사료;|고양이 간식,0.1945;0.189,0.0395;0.0656,query;query,,3772
multi-mft-003,multi,MFT,5,고양이용품 > 사료|고양이 사료;고양이용품 > 간식|고양이 간식,,,0,|고양이 사료;|고양이 간식,0.1945;0.189,0.0395;0.0656,query;query,,2974
multi-mft-003,multi,MFT,6,고양이용품 > 사료|고양이 사료;고양이용품 > 간식|고양이 간식,,,0,|고양이 사료;|고양이 간식,0.1945;0.189,0.0395;0.0656,query;query,,28769
multi-mft-003,multi,MFT,7,고양이용품 > 사료|고양이 사료;고양이용품 > 간식|고양이 간식,,,0,|고양이 사료;|고양이 간식,0.1945;0.189,0.0395;0.0656,query;query,,7499
multi-mft-004,multi,MFT,0,구기/라켓/스포츠 > 축구|축구공;구기/라켓/스포츠 > 야구|야구 글러브,,,0,|축구공;|야구 글러브,0.2309;0.2309;0.2331;0.2331,0.0837;0.0837;0.0517;0.0517,query;query;query;query,,4530
multi-mft-004,multi,MFT,1,구기/라켓/스포츠 > 축구|축구공;구기/라켓/스포츠 > 야구|야구 글러브,,,0,|축구공;|야구 글러브,0.2309;0.2309;0.2331;0.2331,0.0837;0.0837;0.0517;0.0517,query;query;query;query,,3752
multi-mft-004,multi,MFT,2,구기/라켓/스포츠 > 축구|축구공;구기/라켓/스포츠 > 야구|야구 글러브,,,0,|축구공;|야구 글러브,0.2309;0.2309;0.2331;0.2331,0.0837;0.0837;0.0517;0.0517,query;query;query;query,,2765
multi-mft-004,multi,MFT,3,구기/라켓/스포츠 > 축구|축구공;구기/라켓/스포츠 > 야구|야구 글러브,,,0,|축구공;|야구 글러브,0.2309;0.2309;0.2331;0.2331,0.0837;0.0837;0.0517;0.0517,query;query;query;query,,3694
multi-mft-004,multi,MFT,4,구기/라켓/스포츠 > 축구|축구공;구기/라켓/스포츠 > 야구|야구 글러브,,,0,|축구공;|야구 글러브,0.2309;0.2309;0.2331;0.2331,0.0837;0.0837;0.0517;0.0517,query;query;query;query,,3269
multi-mft-004,multi,MFT,5,구기/라켓/스포츠 > 축구|축구공;구기/라켓/스포츠 > 야구|야구 글러브,,,0,|축구공;|야구 글러브,0.2309;0.2309;0.2331;0.2331,0.0837;0.0837;0.0517;0.0517,query;query;query;query,,28336
multi-mft-004,multi,MFT,6,구기/라켓/스포츠 > 축구|축구공;구기/라켓/스포츠 > 야구|야구 글러브,,,0,운동용품|축구공;운동용품|야구 글러브,0.2309;0.2309;0.2331;0.2331,0.0837;0.0837;0.0517;0.0517,query;query;query;query,,3729
multi-mft-004,multi,MFT,7,구기/라켓/스포츠 > 축구|축구공;구기/라켓/스포츠 > 야구|야구 글러브,,,0,|축구공;|야구 글러브,0.2309;0.2309;0.2331;0.2331,0.0837;0.0837;0.0517;0.0517,query;query;query;query,,4002
multi-mft-005,multi,MFT,0,,노트북 백팩,여성가방 > 노트북가방|노트북 백팩;남성가방 > 노트북가방|노트북 백팩;브랜드 남성가방 > 노트북가방|노트북 백팩;브랜드 여성가방 > 노트북가방|노트북 백팩;남성가방 > 백팩|노트북 백팩;여성가방 > 백팩|노트북 백팩;브랜드 남성가방 > 백팩|노트북 백팩;브랜드 여성가방 > 백팩|노트북 백팩,0,|노트북 백팩,,,,category_distance_rejected,3474
multi-mft-005,multi,MFT,1,,노트북;백팩,노트북 > 삼성전자|노트북;여성가방 > 백팩|백팩;노트북 > LG전자|노트북;남성가방 > 백팩|백팩;노트북 > ASUS|노트북;브랜드 여성가방 > 백팩|백팩;여성가방 > 노트북가방|노트북;브랜드 남성가방 > 백팩|백팩,0,|노트북;|백팩,,,,category_distance_rejected;category_distance_rejected,4316
multi-mft-005,multi,MFT,2,,노트북;백팩,노트북 > 삼성전자|노트북;여성가방 > 백팩|백팩;노트북 > LG전자|노트북;남성가방 > 백팩|백팩;노트북 > ASUS|노트북;브랜드 여성가방 > 백팩|백팩;여성가방 > 노트북가방|노트북;브랜드 남성가방 > 백팩|백팩,0,|노트북;|백팩,,,,category_distance_rejected;category_distance_rejected,2918
multi-mft-005,multi,MFT,3,,노트북;백팩,노트북 > 삼성전자|노트북;여성가방 > 백팩|백팩;노트북 > LG전자|노트북;남성가방 > 백팩|백팩;노트북 > ASUS|노트북;브랜드 여성가방 > 백팩|백팩;여성가방 > 노트북가방|노트북;브랜드 남성가방 > 백팩|백팩,0,|노트북;|백팩,,,,category_distance_rejected;category_distance_rejected,4224
multi-mft-005,multi,MFT,4,,노트북;백팩,노트북 > 삼성전자|노트북;여성가방 > 백팩|백팩;노트북 > LG전자|노트북;남성가방 > 백팩|백팩;노트북 > ASUS|노트북;브랜드 여성가방 > 백팩|백팩;여성가방 > 노트북가방|노트북;브랜드 남성가방 > 백팩|백팩,0,|노트북;|백팩,,,,category_distance_rejected;category_distance_rejected,4341
multi-mft-005,multi,MFT,5,,노트북;백팩,노트북 > 삼성전자|노트북;여성가방 > 백팩|백팩;노트북 > LG전자|노트북;남성가방 > 백팩|백팩;노트북 > ASUS|노트북;브랜드 여성가방 > 백팩|백팩;여성가방 > 노트북가방|노트북;브랜드 남성가방 > 백팩|백팩,0,|노트북;|백팩,,,,category_distance_rejected;category_distance_rejected,25933
multi-mft-005,multi,MFT,6,,노트북;백팩,노트북 > 삼성전자|노트북;여성가방 > 백팩|백팩;노트북 > LG전자|노트북;남성가방 > 백팩|백팩;노트북 > ASUS|노트북;브랜드 여성가방 > 백팩|백팩;여성가방 > 노트북가방|노트북;브랜드 남성가방 > 백팩|백팩,0,|노트북;|백팩,,,,category_distance_rejected;category_distance_rejected,4364
multi-mft-005,multi,MFT,7,,노트북;백팩,노트북 > 삼성전자|노트북;여성가방 > 백팩|백팩;노트북 > LG전자|노트북;남성가방 > 백팩|백팩;노트북 > ASUS|노트북;브랜드 여성가방 > 백팩|백팩;여성가방 > 노트북가방|노트북;브랜드 남성가방 > 백팩|백팩,0,|노트북;|백팩,,,,category_distance_rejected;category_distance_rejected,3760
multi-mft-006,multi,MFT,0,선케어 > 선크림/선블록|선크림,원피스;백팩,캐주얼/유니섹스 > 원피스|원피스;여성가방 > 백팩|백팩;여성의류 > 원피스|원피스;남성가방 > 백팩|백팩;브랜드 여성의류 > 원피스|원피스;브랜드 여성가방 > 백팩|백팩;여성의류 > 테마의상|원피스;브랜드 남성가방 > 백팩|백팩,0,|원피스;|백팩;|선크림,0.2187,0.0269,query,category_distance_rejected;category_distance_rejected,4705
multi-mft-006,multi,MFT,1,선케어 > 선크림/선블록|선크림,원피스;백팩,캐주얼/유니섹스 > 원피스|원피스;여성가방 > 백팩|백팩;여성의류 > 원피스|원피스;남성가방 > 백팩|백팩;브랜드 여성의류 > 원피스|원피스;브랜드 여성가방 > 백팩|백팩;여성의류 > 테마의상|원피스;브랜드 남성가방 > 백팩|백팩,0,|원피스;|선크림;|백팩,0.2187,0.0269,query,category_distance_rejected;category_distance_rejected,3813
multi-mft-006,multi,MFT,2,선케어 > 선크림/선블록|선크림,원피스;백팩,캐주얼/유니섹스 > 원피스|원피스;여성가방 > 백팩|백팩;여성의류 > 원피스|원피스;남성가방 > 백팩|백팩;브랜드 여성의류 > 원피스|원피스;브랜드 여성가방 > 백팩|백팩;여성의류 > 테마의상|원피스;브랜드 남성가방 > 백팩|백팩,0,|원피스;|백팩;|선크림,0.2187,0.0269,query,category_distance_rejected;category_distance_rejected,4881
multi-mft-006,multi,MFT,3,선케어 > 선크림/선블록|선크림,원피스;백팩,캐주얼/유니섹스 > 원피스|원피스;여성가방 > 백팩|백팩;여성의류 > 원피스|원피스;남성가방 > 백팩|백팩;브랜드 여성의류 > 원피스|원피스;브랜드 여성가방 > 백팩|백팩;여성의류 > 테마의상|원피스;브랜드 남성가방 > 백팩|백팩,0,|원피스;|선크림;|백팩,0.2187,0.0269,query,category_distance_rejected;category_distance_rejected,3782
multi-mft-006,multi,MFT,4,선케어 > 선크림/선블록|선크림,원피스;백팩,캐주얼/유니섹스 > 원피스|원피스;여성가방 > 백팩|백팩;여성의류 > 원피스|원피스;남성가방 > 백팩|백팩;브랜드 여성의류 > 원피스|원피스;브랜드 여성가방 > 백팩|백팩;여성의류 > 테마의상|원피스;브랜드 남성가방 > 백팩|백팩,0,|원피스;|선크림;|백팩,0.2187,0.0269,query,category_distance_rejected;category_distance_rejected,3077
multi-mft-006,multi,MFT,5,선케어 > 선크림/선블록|선크림,원피스;백팩,캐주얼/유니섹스 > 원피스|원피스;여성가방 > 백팩|백팩;여성의류 > 원피스|원피스;남성가방 > 백팩|백팩;브랜드 여성의류 > 원피스|원피스;브랜드 여성가방 > 백팩|백팩;여성의류 > 테마의상|원피스;브랜드 남성가방 > 백팩|백팩,0,|원피스;|선크림;|백팩,0.2187,0.0269,query,category_distance_rejected;category_distance_rejected,3845
multi-mft-006,multi,MFT,6,선케어 > 선크림/선블록|선크림,원피스;백팩,캐주얼/유니섹스 > 원피스|원피스;여성가방 > 백팩|백팩;여성의류 > 원피스|원피스;남성가방 > 백팩|백팩;브랜드 여성의류 > 원피스|원피스;브랜드 여성가방 > 백팩|백팩;여성의류 > 테마의상|원피스;브랜드 남성가방 > 백팩|백팩,0,|원피스;|선크림;|백팩,0.2187,0.0269,query,category_distance_rejected;category_distance_rejected,28151
multi-mft-006,multi,MFT,7,선케어 > 선크림/선블록|선크림,원피스;백팩,캐주얼/유니섹스 > 원피스|원피스;여성가방 > 백팩|백팩;여성의류 > 원피스|원피스;남성가방 > 백팩|백팩;브랜드 여성의류 > 원피스|원피스;브랜드 여성가방 > 백팩|백팩;여성의류 > 테마의상|원피스;브랜드 남성가방 > 백팩|백팩,0,|원피스;|선크림;|백팩,0.2187,0.0269,query,category_distance_rejected;category_distance_rejected,8098
none-mft-001,none,MFT,0,,5만원 이하 아무거나,안마용품 > 기타 안마용품|5만원 이하 아무거나;e쿠폰/상품권 > 레스토랑/뷔페|5만원 이하 아무거나;패션잡화 > 키홀더|5만원 이하 아무거나;e쿠폰/상품권 > 맛집/분식|5만원 이하 아무거나;문구/사무용품 > 문구용품|5만원 이하 아무거나;e쿠폰/상품권 > 문화/영화/교육|5만원 이하 아무거나;캐주얼/유니섹스 > 티셔츠|5만원 이하 아무거나;주얼리 > 주얼리 소품|5만원 이하 아무거나,0,|5만원 이하 아무거나,,,,category_distance_rejected,3583
none-mft-001,none,MFT,1,,,,0,,,,,,2325
none-mft-001,none,MFT,2,,,,0,,,,,,3333
none-mft-001,none,MFT,3,,,,0,,,,,,3193
none-mft-001,none,MFT,4,,,,0,,,,,,2193
none-mft-001,none,MFT,5,,,,0,,,,,,2495
none-mft-001,none,MFT,6,,5만원 이하 아무거나,안마용품 > 기타 안마용품|5만원 이하 아무거나;e쿠폰/상품권 > 레스토랑/뷔페|5만원 이하 아무거나;패션잡화 > 키홀더|5만원 이하 아무거나;e쿠폰/상품권 > 맛집/분식|5만원 이하 아무거나;문구/사무용품 > 문구용품|5만원 이하 아무거나;e쿠폰/상품권 > 문화/영화/교육|5만원 이하 아무거나;캐주얼/유니섹스 > 티셔츠|5만원 이하 아무거나;주얼리 > 주얼리 소품|5만원 이하 아무거나,0,|5만원 이하 아무거나,,,,category_distance_rejected,3676
none-mft-001,none,MFT,7,,5만원 이하 아무거나,안마용품 > 기타 안마용품|5만원 이하 아무거나;e쿠폰/상품권 > 레스토랑/뷔페|5만원 이하 아무거나;패션잡화 > 키홀더|5만원 이하 아무거나;e쿠폰/상품권 > 맛집/분식|5만원 이하 아무거나;문구/사무용품 > 문구용품|5만원 이하 아무거나;e쿠폰/상품권 > 문화/영화/교육|5만원 이하 아무거나;캐주얼/유니섹스 > 티셔츠|5만원 이하 아무거나;주얼리 > 주얼리 소품|5만원 이하 아무거나,0,|5만원 이하 아무거나,,,,category_distance_rejected,4038
none-mft-002,none,MFT,0,,,,0,,,,,,3863
none-mft-002,none,MFT,1,,,,0,,,,,,2233
none-mft-002,none,MFT,2,,,,0,,,,,,4443
none-mft-002,none,MFT,3,,,,0,,,,,,2454
none-mft-002,none,MFT,4,,,,0,,,,,,3150
none-mft-002,none,MFT,5,,,,0,,,,,,2679
none-mft-002,none,MFT,6,,,,0,,,,,,2361
none-mft-002,none,MFT,7,,,,0,,,,,,4116
none-mft-003,none,MFT,0,,,,0,,,,,,4733
none-mft-003,none,MFT,1,,인기 많은 상품,캐주얼/유니섹스 > 티셔츠|인기 많은 상품;유아동잡화 > 신생아잡화|인기 많은 상품;몸매관리용품 > 얼굴관리|인기 많은 상품;캐주얼/유니섹스 > 셔츠/남방|인기 많은 상품;남성의류 > 맨투맨|인기 많은 상품;주얼리 > 주얼리 소품|인기 많은 상품;임부복/소품 > 잡화|인기 많은 상품;유아동잡화 > 여아잡화|인기 많은 상품,0,|인기 많은 상품,,,,category_distance_rejected,3227
none-mft-003,none,MFT,2,,,,0,,,,,,2883
none-mft-003,none,MFT,3,,,,0,,,,,,2703
none-mft-003,none,MFT,4,,,,0,,,,,,2581
none-mft-003,none,MFT,5,,,,0,,,,,,2906
none-mft-003,none,MFT,6,,,,0,,,,,,25340
none-mft-003,none,MFT,7,,,,0,,,,,,2798
none-mft-004,none,MFT,0,,무료배송,해외직구 > 의류/언더웨어|무료배송;캐주얼/유니섹스 > 티셔츠|무료배송;몸매관리용품 > 얼굴관리|무료배송;캐주얼/유니섹스 > 바지/팬츠|무료배송;여성의류 > 티셔츠|무료배송;지갑/벨트 > 여성벨트|무료배송;여성의류 > 바지/팬츠|무료배송;남성의류 > 맨투맨|무료배송,0,|무료배송,,,,category_distance_rejected,27261
none-mft-004,none,MFT,1,,,,0,,,,,,4006
none-mft-004,none,MFT,2,,,,0,,,,,,2943
none-mft-004,none,MFT,3,,,,0,,,,,,2844
none-mft-004,none,MFT,4,,,,0,,,,,,2097
none-mft-004,none,MFT,5,,무료배송,해외직구 > 의류/언더웨어|무료배송;캐주얼/유니섹스 > 티셔츠|무료배송;몸매관리용품 > 얼굴관리|무료배송;캐주얼/유니섹스 > 바지/팬츠|무료배송;여성의류 > 티셔츠|무료배송;지갑/벨트 > 여성벨트|무료배송;여성의류 > 바지/팬츠|무료배송;남성의류 > 맨투맨|무료배송,0,|무료배송,,,,category_distance_rejected,2943
none-mft-004,none,MFT,6,,,,0,,,,,,2239
none-mft-004,none,MFT,7,,무료배송,해외직구 > 의류/언더웨어|무료배송;캐주얼/유니섹스 > 티셔츠|무료배송;몸매관리용품 > 얼굴관리|무료배송;캐주얼/유니섹스 > 바지/팬츠|무료배송;여성의류 > 티셔츠|무료배송;지갑/벨트 > 여성벨트|무료배송;여성의류 > 바지/팬츠|무료배송;남성의류 > 맨투맨|무료배송,0,|무료배송,,,,category_distance_rejected,2747
none-mft-005,none,MFT,0,,가성비 좋은 물건,몸매관리용품 > 얼굴관리|가성비 좋은 물건;주방용품 > 냄비|가성비 좋은 물건;스포츠 잡화 > 스포츠 용품|가성비 좋은 물건;주방용품 > 프라이팬|가성비 좋은 물건;몸매관리용품 > 바른자세용품|가성비 좋은 물건;임부복/소품 > 잡화|가성비 좋은 물건;요가/필라테스 > 요가/필라테스용품|가성비 좋은 물건;수납가구 > 리퍼/전시/중고|가성비 좋은 물건,0,|가성비 좋은 물건,,,,category_distance_rejected,27088
none-mft-005,none,MFT,1,,,,0,,,,,,3329
none-mft-005,none,MFT,2,,가성비 좋은 제품,몸매관리용품 > 얼굴관리|가성비 좋은 제품;스킨케어 > 스킨/토너|가성비 좋은 제품;스킨케어 > 에센스/세럼|가성비 좋은 제품;주방용품 > 냄비|가성비 좋은 제품;몸매관리용품 > 바른자세용품|가성비 좋은 제품;PC부품 > CPU|가성비 좋은 제품;음향가전 > 이어폰|가성비 좋은 제품;몸매관리용품 > 가슴관리|가성비 좋은 제품,0,|가성비 좋은 제품,,,,category_distance_rejected,3706
none-mft-005,none,MFT,3,,,,0,,,,,,2556
none-mft-005,none,MFT,4,,,,0,,,,,,2148
none-mft-005,none,MFT,5,,,,0,,,,,,2127
none-mft-005,none,MFT,6,,가성비 좋은 상품,몸매관리용품 > 얼굴관리|가성비 좋은 상품;남성화장품 > 남성화장품세트|가성비 좋은 상품;주방용품 > 냄비|가성비 좋은 상품;몸매관리용품 > 바른자세용품|가성비 좋은 상품;스킨케어 > 스킨케어 세트|가성비 좋은 상품;스킨케어 > 스킨/토너|가성비 좋은 상품;몸매관리용품 > 가슴관리|가성비 좋은 상품;캐주얼/유니섹스 > 셔츠/남방|가성비 좋은 상품,0,|가성비 좋은 상품,,,,category_distance_rejected,2919
none-mft-005,none,MFT,7,음향가전 > 이어폰|가성비 좋은 무선 이어폰,,,0,|가성비 좋은 무선 이어폰,0.2667;0.2667,0.0377;0.0377,query;query,,3978
notincatalog-mft-001,notInCatalog,MFT,0,,드론,장난감 > 로봇|드론;장난감 > 작동/조립완구|드론;전동레저/인라인/킥보드 > 보드 용품/잡화|드론;공구 > 전동공구|드론;카메라/주변기기 > DSLR카메라|드론;카메라/주변기기 > 액션캠|드론;카메라/주변기기 > 일반 디지털카메라|드론;세탁기/건조기 > 건조기|드론,0,|드론,,,,category_distance_rejected,8184
notincatalog-mft-001,notInCatalog,MFT,1,,드론,장난감 > 로봇|드론;장난감 > 작동/조립완구|드론;전동레저/인라인/킥보드 > 보드 용품/잡화|드론;공구 > 전동공구|드론;카메라/주변기기 > DSLR카메라|드론;카메라/주변기기 > 액션캠|드론;카메라/주변기기 > 일반 디지털카메라|드론;세탁기/건조기 > 건조기|드론,0,|드론,,,,category_distance_rejected,3009
notincatalog-mft-001,notInCatalog,MFT,2,,드론,장난감 > 로봇|드론;장난감 > 작동/조립완구|드론;전동레저/인라인/킥보드 > 보드 용품/잡화|드론;공구 > 전동공구|드론;카메라/주변기기 > DSLR카메라|드론;카메라/주변기기 > 액션캠|드론;카메라/주변기기 > 일반 디지털카메라|드론;세탁기/건조기 > 건조기|드론,0,|드론,,,,category_distance_rejected,3920
notincatalog-mft-001,notInCatalog,MFT,3,,드론,장난감 > 로봇|드론;장난감 > 작동/조립완구|드론;전동레저/인라인/킥보드 > 보드 용품/잡화|드론;공구 > 전동공구|드론;카메라/주변기기 > DSLR카메라|드론;카메라/주변기기 > 액션캠|드론;카메라/주변기기 > 일반 디지털카메라|드론;세탁기/건조기 > 건조기|드론,0,|드론,,,,category_distance_rejected,2865
notincatalog-mft-001,notInCatalog,MFT,4,,드론,장난감 > 로봇|드론;장난감 > 작동/조립완구|드론;전동레저/인라인/킥보드 > 보드 용품/잡화|드론;공구 > 전동공구|드론;카메라/주변기기 > DSLR카메라|드론;카메라/주변기기 > 액션캠|드론;카메라/주변기기 > 일반 디지털카메라|드론;세탁기/건조기 > 건조기|드론,0,|드론,,,,category_distance_rejected,3230
