cellId,sampleIndex,needs,expectedPriorities,priorities,prioritiesByIndex,rawLegs,lengthMismatch,latencyMs
newborn,6,기저귀;젖병;딸랑이,1;2;3,;;,,::가정용 생활용품::2,True,2171
newborn,7,기저귀;젖병;딸랑이,1;2;3,;;,,::가정용 실용 아이템::2,True,2003
ramen,0,라면사리;계란;대파,1;2;3,;;,,::라면 끓일 때 필요한 생활용품::2,True,2994
ramen,1,라면사리;계란;대파,1;2;3,;;,,::생활용품::2 | ::주방용품::3,True,2160
ramen,2,라면사리;계란;대파,1;2;3,;;,,::생활용품::2,True,1795
ramen,3,라면사리;계란;대파,1;2;3,;;,,::생활용품::2,True,2325
ramen,4,라면사리;계란;대파,1;2;3,;;,,::라면 끓일 때 넣을 거::2,True,2153
ramen,5,라면사리;계란;대파,1;2;3,;;,,::생활용품::2,True,2393
ramen,6,라면사리;계란;대파,1;2;3,;;,,::가성비 생활용품::2,True,2636
ramen,7,라면사리;계란;대파,1;2;3,;;,,::라면 끓일 때 사용할 생활용품::2,True,2677
study_room,0,책상 스탠드;방석;공부 타이머,1;2;3,;;,,::생활용품::2,True,2026
study_room,1,책상 스탠드;방석;공부 타이머,1;2;3,;;,,::공부방 필수품::2,True,2777
study_room,2,책상 스탠드;방석;공부 타이머,1;2;3,;;,,::생활용품::2,True,1673
study_room,3,책상 스탠드;방석;공부 타이머,1;2;3,;;,,::생활용품::2,True,2164
study_room,4,책상 스탠드;방석;공부 타이머,1;2;3,;;,,::공부방 꾸미기 생활용품::2,True,3440
study_room,5,책상 스탠드;방석;공부 타이머,1;2;3,;;,,::생활용품::2 | ::공부방 꾸미기 아이템::3,True,2360
study_room,6,책상 스탠드;방석;공부 타이머,1;2;3,;;,,::공부방 인테리어 생활용품::2,True,36867
study_room,7,책상 스탠드;방석;공부 타이머,1;2;3,;;,,::공부방 꾸미기::2,True,2156
wedding_guest,0,정장;구두;넥타이핀,1;2;3,;;,,::::2,True,2026
wedding_guest,1,정장;구두;넥타이핀,1;2;3,;;,,::여름/겨울 의상 코디 아이템::3,True,2322
wedding_guest,2,정장;구두;넥타이핀,1;2;3,;;,,::::1,True,2528
wedding_guest,3,정장;구두;넥타이핀,1;2;3,;;,,::가성비 생활용품 추천::2,True,2086
wedding_guest,4,정장;구두;넥타이핀,1;2;3,;;,,::몸에 어울리는 복장 코디::2,True,2306
wedding_guest,5,정장;구두;넥타이핀,1;2;3,;;,,::가성비 좋은 생활용품::2,True,2507
wedding_guest,6,정장;구두;넥타이핀,1;2;3,;;,,::가성비 생활용품::2,True,37420
wedding_guest,7,정장;구두;넥타이핀,1;2;3,;;,,::의류 및 패션 코디::2,True,2792
