cellId,sampleIndex,needs,expectedPriorities,priorities,legMismatch,latencyMs
hiking,2,등산화;등산 스틱;방한 장갑,1;2;3,1;2;2,False,1051
hiking,3,등산화;등산 스틱;방한 장갑,1;2;3,1;1;2,False,824
hiking,4,등산화;등산 스틱;방한 장갑,1;2;3,1;2;2,False,779
hiking,5,등산화;등산 스틱;방한 장갑,1;2;3,1;2;2,False,996
hiking,6,등산화;등산 스틱;방한 장갑,1;2;3,1;2;2,False,49777
hiking,7,등산화;등산 스틱;방한 장갑,1;2;3,1;2;1,False,1191
home_cafe,0,원두;드리퍼;온도계,1;2;3,2;2;2,False,1149
home_cafe,1,원두;드리퍼;온도계,1;2;3,1;2;3,False,1133
home_cafe,2,원두;드리퍼;온도계,1;2;3,1;2;2,False,50332
home_cafe,3,원두;드리퍼;온도계,1;2;3,1;2;2,False,1142
home_cafe,4,원두;드리퍼;온도계,1;2;3,1;2;3,False,972
home_cafe,5,원두;드리퍼;온도계,1;2;3,1;2;2,False,848
home_cafe,6,원두;드리퍼;온도계,1;2;3,1;2;3,False,1168
home_cafe,7,원두;드리퍼;온도계,1;2;3,1;2;2,False,892
kitten,0,사료;화장실 모래;장난감,1;2;3,1;1;2,False,1077
kitten,1,사료;화장실 모래;장난감,1;2;3,1;2;3,False,938
kitten,2,사료;화장실 모래;장난감,1;2;3,1;1;3,False,1141
kitten,3,사료;화장실 모래;장난감,1;2;3,1;1;3,False,938
kitten,4,사료;화장실 모래;장난감,1;2;3,1;1;3,False,877
kitten,5,사료;화장실 모래;장난감,1;2;3,1;2;2,False,965
kitten,6,사료;화장실 모래;장난감,1;2;3,1;2;3,False,1058
kitten,7,사료;화장실 모래;장난감,1;2;3,1;1;2,False,50236
moving,0,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,1;2;3,False,925
moving,1,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,1;2;2,False,898
moving,2,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,1;2;2,False,1044
moving,3,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,1;2;2,False,1062
moving,4,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,1;2;3,False,890
moving,5,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,1;2;2,False,947
moving,6,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,1;2;3,False,963
moving,7,이삿짐 박스;포장용 테이프;짐 정리 라벨스티커,1;2;3,1;2;3,False,926
newborn,0,기저귀;젖병;딸랑이,1;2;3,1;1;2,False,765
newborn,1,기저귀;젖병;딸랑이,1;2;3,1;1;2,False,870
newborn,2,기저귀;젖병;딸랑이,1;2;3,1;1;2,False,848
newborn,3,기저귀;젖병;딸랑이,1;2;3,1;1;2,False,797
newborn,4,기저귀;젖병;딸랑이,1;2;3,1;1;2,False,49899
newborn,5,기저귀;젖병;딸랑이,1;2;3,1;1;2,False,1018
newborn,6,기저귀;젖병;딸랑이,1;2;3,1;1;2,False,1131
newborn,7,기저귀;젖병;딸랑이,1;2;3,1;1;2,False,975
ramen,0,라면사리;계란;대파,1;2;3,1;2;1,False,1820
ramen,1,라면사리;계란;대파,1;2;3,1;1;2,False,1007
ramen,2,라면사리;계란;대파,1;2;3,1;1;1,False,1039
ramen,3,라면사리;계란;대파,1;2;3,1;1;3,False,1096
ramen,4,라면사리;계란;대파,1;2;3,1;1;2,False,893
ramen,5,라면사리;계란;대파,1;2;3,1;2;3,False,1004
ramen,6,라면사리;계란;대파,1;2;3,1;1;2,False,1002
ramen,7,라면사리;계란;대파,1;2;3,1;1;2,False,833
study_room,0,책상 스탠드;방석;공부 타이머,1;2;3,1;2;2,False,911
study_room,1,책상 스탠드;방석;공부 타이머,1;2;3,2;3;2,False,1035
study_room,2,책상 스탠드;방석;공부 타이머,1;2;3,1;2;3,False,781
study_room,3,책상 스탠드;방석;공부 타이머,1;2;3,1;2;2,False,978
study_room,4,책상 스탠드;방석;공부 타이머,1;2;3,1;2;2,False,801
study_room,5,책상 스탠드;방석;공부 타이머,1;2;3,2;3;2,False,928
study_room,6,책상 스탠드;방석;공부 타이머,1;2;3,1;2;3,False,50627
study_room,7,책상 스탠드;방석;공부 타이머,1;2;3,1;2;3,False,765
wedding_guest,0,정장;구두;넥타이핀,1;2;3,1;3;2,False,1108
wedding_guest,1,정장;구두;넥타이핀,1;2;3,1;2;2,False,956
wedding_guest,2,정장;구두;넥타이핀,1;2;3,1;1;2,False,827
wedding_guest,3,정장;구두;넥타이핀,1;2;3,1;2;3,False,768
wedding_guest,4,정장;구두;넥타이핀,1;2;3,1;2;2,False,781
wedding_guest,5,정장;구두;넥타이핀,1;2;3,1;2;3,False,734
wedding_guest,6,정장;구두;넥타이핀,1;2;3,1;3;2,False,784
wedding_guest,7,정장;구두;넥타이핀,1;2;3,1;2;2,False,49846
